,id,app_size_bytes,app_price,app_rating_count,app_rating,app_content_rating,app_genre,app_total_supported_langs
285,337571576,15313920,0.99,1193,4,17+,Games,1
286,337710261,69816320,0,35,2.5,17+,Sports,1
287,337866370,32848910,1.99,4088,4,4+,Games,1
288,338057689,52821364,4.99,63943,4,17+,Games,1
289,338137227,146507776,0,70286,3,4+,Shopping,1
290,338761996,24747008,0,1150,2.5,4+,Business,19
291,338828953,89517056,0,54630,2.5,4+,Shopping,1
292,339440515,40722432,0,98777,3,4+,Entertainment,12
293,339462921,73332736,0.99,649,4,4+,Photo & Video,1
294,339532909,83906560,0,60236,3,12+,Entertainment,1
295,340368403,76644352,0,115,3.5,4+,Food & Drink,1
296,340769953,37340259,0.99,26732,4,17+,Games,1
297,340779800,26137600,1.99,2722,4.5,4+,Shopping,1
298,341036067,107816960,0,11013,3.5,4+,Shopping,1
299,341232718,152700928,0,507706,4.5,4+,Health & Fitness,19
300,341329033,112024576,0,397,4.5,4+,Travel,16
301,341691394,35864576,9.99,196,4,4+,Productivity,2
302,341776037,49594368,3.99,24553,4,9+,News,26
303,342115564,114081792,2.99,12557,3.5,4+,Photo & Video,15
304,342138881,91267072,0,26227,4,9+,Music,14
305,342548956,8821760,4.99,28388,5,4+,Business,9
307,342602105,69513216,2.99,282,4,4+,Health & Fitness,1
308,342699962,7767040,0.99,19296,4,4+,Games,1
309,342792525,88702976,0,183425,4.5,12+,Entertainment,10
310,343200656,175966208,0,824451,4.5,4+,Games,10
311,343555245,84791296,0,512,3.5,4+,Travel,2
312,343638336,27997184,2.99,315,3.5,4+,Lifestyle,31
313,343889987,131463168,0,268,3.5,4+,Travel,6
314,344065205,5415000,1.99,438,4.5,4+,Games,1
316,344176018,126867456,0,187,3.5,4+,Navigation,3
317,344186162,878883840,4.99,15142,4,17+,Games,6
318,344542975,88773632,0,30552,3,4+,Travel,1
319,345445479,812758016,2.99,9744,3.5,12+,Games,6
320,345542655,28616704,0,13482,4.5,4+,Education,8
321,346184215,7111680,0,17516,3.5,4+,Finance,1
322,346453382,34056767,0,186653,3.5,4+,Games,1
323,346513173,21450752,0.99,10031,4,4+,Entertainment,1
324,346997126,97879040,0,81,3,4+,Entertainment,1
325,347310316,22299021,0.99,9854,4,4+,Games,1
326,347393479,10231808,2.99,1093,4,9+,Travel,1
327,347400507,132480000,2.99,4475,4.5,4+,Health & Fitness,2
328,347411942,47182848,2.99,9405,4,4+,Games,1
330,347418999,100048896,1.99,2417,4.5,4+,Health & Fitness,1
331,347803339,174839808,0.99,2923,4.5,4+,Business,7
332,348530331,13725696,2.99,8657,3.5,9+,Entertainment,1
333,348543978,11369472,0.99,70,2,4+,Photo & Video,5
335,348684697,155857920,0,162,4,17+,News,2
337,349079731,38718464,0.99,5,4,4+,Lifestyle,2
338,349276209,17879270,0.99,12354,4,12+,Games,1
339,349442137,96635904,0,269,3,12+,Social Networking,1
340,350480010,8039424,3.99,0,0,9+,Book,1
341,350642635,105379840,0.99,426463,5,9+,Games,5
342,350962117,199585792,0,7265,3.5,17+,Social Networking,2
343,351091731,244516864,0,844,4,17+,Lifestyle,2
344,351184863,123450368,0,101,4,12+,Entertainment,1
345,351331194,157625344,0,34428,4.5,17+,Social Networking,30
346,351707231,75612160,1.99,36946,4.5,4+,Games,3
347,351727428,68153344,0,21090,4.5,4+,Finance,1
348,351939099,84469760,2.99,653,4.5,12+,Games,31
349,351986992,100368384,3.99,1118,4.5,4+,Education,29
350,352000376,7344128,1.99,348,4,4+,Productivity,1
351,352041837,25097281,1.99,207,3.5,9+,Utilities,34
352,352199775,43439104,0,5000,4.5,12+,Health & Fitness,10
353,352247139,83851264,3.99,15188,4.5,12+,Health & Fitness,2
354,352509417,118980608,0,18572,4.5,12+,News,1
355,352670055,76394496,4.99,6403,4.5,4+,Games,1
356,352683833,127382528,0,417779,4.5,12+,Shopping,10
357,353372460,48819200,4.99,9,5,12+,Education,5
358,353573707,30977024,0.99,107,2.5,4+,Entertainment,1
359,353603279,8073209,1.99,72,2,4+,Lifestyle,1
360,353642901,15676416,2.99,2044,3.5,9+,Games,1
361,353665650,81876992,0,16683,3.5,4+,Sports,2
362,354051766,48700821,0.99,1455,3,12+,Games,1
364,354655665,581353472,4.99,15056,4,17+,Games,3
365,354850853,9906176,0.99,249,4.5,4+,Photo & Video,1
366,354972939,114843648,7.99,6091,4,9+,Games,8
367,354974729,199450624,7.99,2754,4,9+,Games,6
369,355524910,529755136,4.99,9870,4.5,12+,Games,1
370,355554941,70516736,0,82602,4,9+,Music,23
371,355709084,147066880,7.99,0,0,4+,Travel,1
372,355940964,90241024,1.99,762,4,4+,Education,1
373,356618664,174268416,1.99,160,4,4+,Education,1
374,356968629,187040768,0,9,3,17+,Shopping,1
375,357218860,151864320,0,260965,4,12+,Social Networking,14
376,357404131,4466688,1.99,2305,4,4+,Photo & Video,4
377,357421934,35478528,4.99,137,4,4+,Travel,10
379,357467791,31869952,0,11999,4,4+,Entertainment,1
380,357577420,21771264,1.99,1995,4.5,12+,Photo & Video,14
381,357828853,103049216,2.99,35045,4.5,4+,Music,6
382,358055270,40586240,0.99,343,4,4+,Entertainment,30
383,358207332,220397568,1.99,1824,4,4+,Entertainment,22
385,359891723,69057536,0,39642,4,4+,Sports,1
386,359917414,101943296,0,679055,4.5,4+,Games,11
388,360593530,122235904,9.99,17594,4,4+,Productivity,14
390,361231506,151954432,1.99,3531,4,4+,Games,1
391,362179828,138047488,3.99,1080,3.5,4+,Education,1
392,362348516,105982976,0,11421,4,4+,Finance,1
393,362949845,104590336,1.99,698516,4.5,4+,Games,13
395,363201632,32051200,3.99,4497,4,12+,Entertainment,1
396,363282253,225859584,0.99,163598,5,9+,Games,5
397,363306776,229992448,9.99,39678,3.5,4+,Games,6
398,363317633,32604160,8.99,1809,4.5,4+,Productivity,1
399,363360636,22948864,4.99,624,3.5,4+,Navigation,1
400,363448251,35422208,2.99,3761,4.5,4+,Photo & Video,1
401,363451838,32083968,3.99,353,4,12+,Weather,1
402,363486802,150221824,4.99,6503,4.5,4+,Education,12
403,363486833,30270464,0.99,71,3,4+,Games,4
404,363590051,125016064,0,308844,3.5,4+,Entertainment,20
405,363738376,35717120,9.99,3909,4.5,4+,Music,14
406,363992049,31955968,2.99,308,4.5,12+,Utilities,7
407,363998953,44099584,9.99,11156,4.5,4+,Productivity,1
408,364017607,34310144,4.99,8542,4.5,4+,Photo & Video,1
409,364159440,35602607,4.99,5853,3.5,17+,Games,1
410,364165557,234123264,1.99,1506,4,9+,Games,6
411,364183992,133874688,0,1649,3.5,4+,Social Networking,3
412,364191819,85724160,0,78890,3,12+,Entertainment,1
413,364204209,219693056,3.99,2147,4,9+,Games,1
414,364234221,176164864,0,89110,4.5,4+,Games,10
415,364252504,59101184,0,208648,4,4+,Weather,1
416,364267763,10907191,1.99,856,2.5,12+,Entertainment,1
417,364500115,4177920,3.99,7825,4.5,4+,Productivity,1
418,364502063,62978048,9.99,7033,4,4+,Business,11
422,364733950,66138112,1.99,4255,4,4+,Reference,1
423,364738545,68073472,5.99,3230,4.5,4+,Utilities,7
424,364740856,165748736,0,54175,4.5,4+,Reference,9
425,364762290,33857536,4.99,308,4,4+,Education,1
426,364899325,22763520,0.99,2602,3,9+,Games,1
427,364901807,107259904,0,29110,4.5,17+,Productivity,9
428,364904019,73224192,1.99,273,3.5,4+,Reference,1
429,365152940,45182976,0,15654,4.5,4+,Photo & Video,2
431,365235835,16292864,0,189,2.5,12+,Entertainment,9
432,365724094,24851456,0.99,829,4.5,4+,Navigation,7
433,366195670,58463232,8.99,663,5,4+,Photo & Video,1
434,366247306,71002112,0,359832,4.5,4+,Games,7
436,366562751,112609280,0,9011,3.5,4+,Entertainment,6
437,366626332,149536768,4.99,17667,4.5,4+,Health & Fitness,15
438,366869252,39844864,0,65450,4,4+,Book,18
440,367003839,105609216,0,31261,4.5,4+,Travel,40
441,367242040,14160896,0.99,9885,4,4+,Games,1
442,367287593,112515072,0,11091,3,4+,Entertainment,6
443,367623543,64705536,0,132703,4,4+,News,1
444,367706767,37161984,4.99,286,2.5,4+,Travel,1
446,368494609,54776832,0,12683,4,12+,Utilities,29
448,368677368,283852800,0,49466,3,4+,Travel,41
450,368948250,101923840,0,168,4,4+,Productivity,2
451,369111608,40479744,6.99,114,4,17+,Book,3
452,369266386,10612736,2.99,2798,4.5,4+,Weather,1
453,369692259,94592000,0,62,3.5,4+,Entertainment,1
455,369820957,33213440,9.99,1756,4,4+,Business,5
456,369838631,37140480,3.99,511,4.5,4+,Health & Fitness,1
457,369849199,144180224,0.99,2609,3.5,17+,Games,1
458,369970819,7689537,0,354,1.5,4+,Social Networking,1
459,370139302,119812096,0,1750,3.5,17+,Utilities,1
460,370144476,25137152,1.99,1121,4.5,9+,Games,1
462,370406465,65074176,0,339,4.5,4+,Sports,1
464,370697773,34950144,0,34322,4.5,4+,Finance,1
465,370899391,19054592,1.99,162,4.5,4+,Productivity,3
466,370901726,83575808,0,8,3,4+,Utilities,1
467,371338715,14602240,2.99,4386,4.5,4+,Education,1
469,372283316,61595648,4.99,5397,5,4+,Games,7
470,372513032,134848512,0,75412,4.5,17+,Social Networking,18
471,372648912,133956608,0,97072,4,17+,Social Networking,18
472,373185673,17613824,0,9142,3.5,12+,Health & Fitness,1
473,373203236,35975168,1.99,1957,4.5,4+,Games,1
474,373236724,127020032,4.99,2944,4,17+,Entertainment,29
475,373311252,27962368,1.99,588,4,4+,Photo & Video,14
476,373342398,14824448,1.99,40552,4.5,4+,Games,1
477,373454750,83899392,0.99,1267,4.5,4+,Finance,3
478,373493387,19371008,24.99,753,4,4+,Education,1
479,373515261,59475968,2.99,725,4,4+,Weather,13
480,373563219,80203776,3.99,45,4.5,12+,Education,1
481,373714084,227403527,0.99,14910,4,12+,Games,1
482,373849969,75254654,2.99,3064,3.5,9+,Games,1
483,373903654,23879680,0,12074,2.5,17+,News,1
485,374151636,4893696,4.99,336,4,4+,Productivity,1
486,374211477,109620224,9.99,6257,4,4+,Productivity,11
488,374308914,18752512,1.99,2445,4.5,4+,Photo & Video,1
489,374791544,52117504,0.99,22150,4,9+,Games,1
490,375239755,31358976,0,23530,4,17+,Social Networking,25
491,375295479,359192576,9.99,10846,4.5,4+,Games,2
492,375380948,70782976,0,55171,3.5,4+,Shopping,21
493,376183339,84056064,0,5782,3.5,12+,Education,22
494,376197239,124090368,0,24,3.5,4+,Weather,3
495,376202925,137866240,0,17,3.5,4+,Finance,1
496,376374689,121715712,1.99,35759,4.5,12+,Games,13
497,376412660,304654336,2.99,18306,4,12+,Games,4
498,376413870,51179520,0,13567,2,4+,Education,14
499,376436174,60380160,1.99,240,3,4+,Sports,1
500,376510438,99568640,0,56170,2,12+,Entertainment,2
501,376561911,61272064,3.99,19,4.5,4+,Education,2
503,377321278,41207059,0,0,0,4+,Navigation,1
504,377342622,7954432,1.99,10463,4.5,4+,Photo & Video,3
507,377677727,7876608,0,1255,4.5,12+,Lifestyle,1
508,377704407,99558400,0.99,5803,4,4+,Games,1
509,377831429,16857290,1.99,227,4,9+,Games,1
510,377908737,111196160,9.99,342,3.5,4+,Navigation,5
511,377989827,36705280,2.99,7578,4.5,4+,Photo & Video,1
512,378326916,79312792,6.99,1156,3.5,4+,Games,1
513,378352300,127939584,0,7197,3.5,4+,Education,4
515,378781805,44349440,2.99,5,3,4+,Entertainment,3
516,378782714,1178477568,0.99,3432,3,4+,Games,10
517,379256460,24444928,3.99,0,0,4+,Education,1
518,379323382,41772032,4.99,24306,4.5,4+,Games,9
519,379395415,144488448,0,312,3.5,17+,Travel,1
520,379693831,81558528,0,105274,4.5,4+,Book,5
521,379869627,169009152,2.99,25475,4.5,4+,Utilities,11
522,379937581,62373888,0.99,8718,4,4+,Games,1
523,379983299,75417600,0,29492,3.5,4+,Entertainment,13
524,380090605,175157248,4.99,12787,4.5,4+,Entertainment,1
525,380641055,28118016,4.99,2237,4,17+,Utilities,2
526,380834987,15759360,0.99,108,4,4+,Utilities,1
527,380908399,109270016,0,25403,4.5,12+,Music,9
528,380932800,59411456,0,210,3.5,4+,Lifestyle,1
529,380974668,138755072,0,169,4,4+,Shopping,5
530,381059732,81845248,1.99,7447,4.5,4+,Productivity,29
531,381342267,132377600,2.99,12833,4.5,4+,Education,1
532,381471023,42027008,0,130450,5,4+,Utilities,22
533,381477230,191410176,4.99,6,4,4+,Games,1
535,381722077,81773568,0,1111,1.5,4+,Lifestyle,12
536,382002079,113814528,0,3194,4.5,12+,Sports,13
537,382013715,27815936,1.99,1399,2.5,4+,Business,7
538,382045106,44402688,3.99,10,4.5,17+,Health & Fitness,1
540,382201985,226406400,0,1990,4.5,17+,Utilities,1
541,382497397,113119232,0,8149,4,4+,Shopping,1
542,382509315,55986176,4.99,29376,4.5,4+,Business,11
543,382596778,63022080,0,74,4.5,4+,Shopping,1
544,382617920,129657856,0,164249,4.5,4+,Social Networking,32
546,382991304,33989632,2.99,14605,4.5,4+,Games,9
547,383298204,74822656,0,130823,4.5,4+,Shopping,2
548,383718755,3462144,0.99,486,4.5,4+,Entertainment,9
549,383819300,3462266,0.99,8946,4.5,4+,Music,1
551,384282298,51794944,0.99,1993,4,4+,Games,7
552,384830320,154507264,0,43877,4.5,4+,Social Networking,13
553,385145330,72586240,0.99,2377,4.5,4+,Photo & Video,1
554,385285922,184689664,0,1590,4.5,17+,Entertainment,2
555,385533456,19534848,0.99,2070,4,4+,Games,1
556,385724144,65892352,0,9,4,4+,Lifestyle,1
557,385756768,108836864,3.99,11530,4.5,4+,Reference,1
558,385919493,89219072,0,194,4,17+,Lifestyle,2
